yasha@yasha-VirtualBox:~/embedUr-Training/Linux-Training$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 16:25 ?        00:00:02 /sbin/init splash
root           2       0  0 16:25 ?        00:00:00 [kthreadd]
root           3       2  0 16:25 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 16:25 ?        00:00:00 [kworker/R-rcu_gp]
root           5       2  0 16:25 ?        00:00:00 [kworker/R-sync_wq]
root           6       2  0 16:25 ?        00:00:00 [kworker/R-kvfree_rcu_reclai
root           7       2  0 16:25 ?        00:00:00 [kworker/R-slub_flushwq]
root           8       2  0 16:25 ?        00:00:00 [kworker/R-netns]
root          13       2  0 16:25 ?        00:00:00 [kworker/R-mm_percpu_wq]
root          14       2  0 16:25 ?        00:00:00 [rcu_tasks_kthread]
root          15       2  0 16:25 ?        00:00:00 [rcu_tasks_rude_kthread]
root          16       2  0 16:25 ?        00:00:00 [rcu_tasks_trace_kthread]
root          17       2  0 16:25 ?        00:00:01 [ksoftirqd/0]
root          18       2  0 16:25 ?        00:00:02 [rcu_preempt]
root          19       2  0 16:25 ?        00:00:00 [rcu_exp_par_gp_kthread_work
root          20       2  0 16:25 ?        00:00:00 [rcu_exp_gp_kthread_worker]
root          21       2  0 16:25 ?        00:00:00 [migration/0]
root          22       2  0 16:25 ?        00:00:00 [idle_inject/0]
root          23       2  0 16:25 ?        00:00:00 [cpuhp/0]
root          24       2  0 16:25 ?        00:00:00 [kdevtmpfs]
root          25       2  0 16:25 ?        00:00:00 [kworker/R-inet_frag_wq]
root          26       2  0 16:25 ?        00:00:00 [kauditd]
root          27       2  0 16:25 ?        00:00:00 [khungtaskd]
root          29       2  0 16:25 ?        00:00:00 [oom_reaper]
root          31       2  0 16:25 ?        00:00:00 [kworker/R-writeback]
root          32       2  0 16:25 ?        00:00:02 [kcompactd0]
root          33       2  0 16:25 ?        00:00:00 [ksmd]
root          34       2  0 16:25 ?        00:00:00 [khugepaged]
root          35       2  0 16:25 ?        00:00:00 [kworker/R-kintegrityd]
